Step, Total affected keys, Total marked keys, Relinearize keys, Relinearize affected keys, New factors affected keys, Depth
632, 57, 7, 1, 5, 5, 51
633, 59, 7, 1, 5, 5, 51
634, 259, 81, 16, 80, 5, 51
635, 303, 63, 9, 61, 5, 51
636, 337, 137, 31, 136, 5, 51
637, 340, 147, 35, 145, 5, 51
638, 155, 16, 2, 14, 5, 51
639, 78, 7, 1, 5, 5, 51
640, 156, 13, 2, 11, 5, 51
641, 219, 63, 12, 61, 5, 51
642, 202, 32, 3, 27, 5, 51
643, 178, 36, 5, 35, 5, 51
644, 313, 117, 21, 116, 5, 51
645, 141, 19, 3, 17, 5, 51
646, 434, 266, 56, 265, 5, 51
647, 117, 11, 1, 6, 5, 51
648, 83, 7, 1, 5, 5, 51
649, 165, 32, 5, 30, 5, 51
650, 230, 76, 13, 74, 5, 51
651, 227, 87, 15, 86, 5, 51
652, 140, 23, 2, 18, 5, 51
653, 255, 90, 15, 89, 5, 51
654, 279, 85, 18, 83, 5, 51
655, 102, 5, 0, 0, 5, 51
656, 139, 20, 4, 18, 5, 51
657, 304, 88, 17, 87, 5, 51
658, 399, 191, 39, 190, 5, 51
659, 287, 127, 26, 125, 5, 51
660, 332, 149, 26, 148, 5, 51
661, 285, 129, 21, 127, 5, 51
662, 430, 216, 57, 215, 5, 51
663, 114, 14, 1, 9, 5, 51
664, 91, 13, 3, 11, 5, 51
665, 174, 24, 3, 22, 5, 51
666, 85, 7, 1, 5, 5, 51
667, 117, 7, 1, 5, 5, 51
668, 117, 7, 1, 5, 5, 51
669, 118, 7, 1, 5, 5, 51
670, 118, 7, 1, 5, 5, 51
671, 121, 13, 3, 11, 5, 51
672, 125, 5, 0, 0, 5, 51
673, 119, 7, 1, 5, 5, 51
674, 116, 5, 0, 0, 5, 51
675, 178, 53, 13, 52, 5, 51
676, 119, 7, 1, 5, 5, 51
677, 174, 16, 3, 14, 5, 51
678, 239, 61, 10, 59, 5, 51
679, 133, 7, 1, 5, 5, 51
680, 190, 24, 4, 23, 5, 51
681, 134, 7, 1, 5, 5, 51
682, 131, 7, 1, 5, 5, 51
683, 238, 56, 8, 55, 5, 51
684, 190, 23, 2, 18, 5, 51
685, 219, 40, 6, 39, 5, 51
686, 204, 25, 4, 23, 5, 51
